業種名,和文社名,住所,業種,会社コード,公開有無,フリガナ,旧会社名,英文社名,郵便番号,電話,ＵＲＬ,営業所等,事業内容,仕入先,販売先,ブランド,取引銀行,設立年月,資本金,lat,lon
電気機器卸売,クレアフォームジャパン（株）,神奈川県横浜市港北区新横浜３－１８－５　アイズビル６０１,その他非製造業,392602,未上場,クレアフォームジャパン,,Ｃｒｅａｆｏｒｍ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．（ＫＫ）,222-0033,045-534-3728,http://www.creaform3d.com/ja/,,３Ｄハンディスキャナーの販売・サポート,,,,,200806,10,35.510295,139.6163031
情報・システム・ソフト,エルエムエスジャパン（株）,神奈川県横浜市港北区新横浜３－１－９　アリーナタワー１４階,情報通信･メディア,208445,未上場,エルエムエスジャパン,,ＬＭＳ　Ｊａｐａｎ　Ｋ．Ｋ．,222-0033,045-478-4800,http://www.lmsjapan.com/,［名古屋オフィス］　名古屋市中村区名駅南２－１４－１９住友生命名古屋ビル２２階ＴＥＬ０５２－５６５－４８０１,ソフトウェア・ハードウェアの輸入・販売・保守，市場調査,ＬＭＳ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｎ．Ｖ．，他,国内自動車関連企業,,,199409,60,35.51175360000001,139.6217782
輸送用機器卸売,フェデラル・モーグル　ジャパン（株）,神奈川県横浜市港北区新横浜３－１－９　アリーナタワー１５階,その他非製造業,209488,未上場,フェデラルモーグルジャパン,フェデラル・モーグルシステムプロテクション（株）（2008.12）,Ｆｅｄｅｒａｌ－Ｍｏｇｕｌ　Ｊａｐａｎ　Ｋ．Ｋ．,222-0033,045-479-0205,http://www.federalmogul.com/,,自動車用部品の輸入・製造・販売,,,,,199707,200,35.51175360000001,139.6217782
精密機器卸売,ノベラスシステムズジャパン合同会社,神奈川県横浜市港北区新横浜３－１９－１　Ｌｉｖｍｏビル１１階,その他非製造業,205230,未上場,ノベラスシステムズジャパン,ノベランスシステムズジャパン（株）（2006.12）,Ｎｏｖｅｌｌｕｓ　Ｓｙｓｔｅｍｓ　Ｊａｐａｎ，　ＧＫ．,222-0033,045-476-8111,http://www.novellus.com/jp/,［営業所］　四日市，成田,半導体製造装置の輸入販売,Ｎｏｖｅｌｌｕｓ　Ｓｙｓｔｅｍｓ　Ｉｎｃ．,,,三菱東京ＵＦＪ，ＡＢＮアムロ，ドイツ,198906,499,35.5106273,139.6159247
精密機器卸売,（株）チップワンストップ,神奈川県横浜市港北区新横浜３－１９－１　ＬＩＶＭＯライジングビル１０階,その他非製造業,420154,未上場,チップワンストップ,,Ｃｈｉｐ　Ｏｎｅ　Ｓｔｏｐ，Ｉｎｃ．,222-8525,045-470-8750,http://www.chip1stop.com/,［営業所］　関西,ネット通販サイトの運営，電子部品・半導体の生産中止・仕様変更・互換品・有害物質情報に関する情報コンテンツサービスの提供，システム構築ソリューション提供,,,,三菱東京ＵＦＪ，三井住友,200102,"1,067",35.5106273,139.6159247
他製造業,エービーシーグループジャパン（株）,神奈川県横浜市港北区新横浜３－１９－５　新横浜第２センタービル１０階,製造業,220246,未上場,エービーシーグループジャパン,,ＡＢＣ　Ｇｒｏｕｐ　Ｊａｐａｎ　Ｉｎｃ．,222-0033,045-478-6411,http://www.abcgroupinc.com/jp/,,自動車用，産業用プラスチック製品の開発,,,,,199909,7,35.5112003,139.6152077
輸送用機器卸売,ベバストジーシーエスジャパン（株）,神奈川県横浜市港北区新横浜３－１９－５　新横浜第２センタービル１１階,その他非製造業,410042,未上場,ベバストジーシーエスジャパン,,Ｗｅｂａｓｔｏ　ＧＣＳ　Ｊａｐａｎ　Ｃｏｒｐ．,222-0033,045-474-1761,http://www.webasto.co.jp/,,車載用燃焼式ヒーター及びサーモ製品，後付サンルーフの輸入販売,,,,,200701,"2,000",35.5112003,139.6152077
他サービス,テュフ・ラインランド・ジャパン（株）,神奈川県横浜市港北区新横浜３－１９－５　新横浜第二センタービル,その他非製造業,204528,未上場,テュフラインランドジャパン,ラインランド技検（株）（2000.6）,ＴＵＶ　Ｒｈｅｉｎｌａｎｄ　Ｊａｐａｎ　Ｌｔｄ．,222-0033,045-470-1860,http://www.jpn.tuv.com/,［オフィス］　西日本地域担当（大阪），九州　［ラボ］　横浜，大阪,電機製品，自動車，コンピュータ，鉄鋼・圧力容器等に関する安全検査，認証，マネジメントシステム認証（ＩＳＯ９００１・１４００１等）,,,,三菱東京ＵＦＪ，みずほ，三井住友,198303,370,35.5112003,139.6152077
他サービス,テクノロジー・インターナショナル・ジャパン（株）,神奈川県横浜市港北区新横浜３－２０－８　ベネックスＳ３－５０３,その他非製造業,381157,未上場,テクノロジーインターナショナルジャパン,,Ｔｅｃｈｎｏｌｏｇｙ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　（Ｊａｐａｎ）　Ｌｔｄ．,222-0033,045-478-0705,http://www.ce-tij.jp,,製品安全検査・安全認証，品質管理システム構築支援，開発・設計コンサルティング等,,,,,200409,－,35.5116931,139.6163762
その他卸売,日発ジャブスコ（株）,神奈川県横浜市港北区新横浜３－２１－１０,その他非製造業,206065,未上場,ニッパツジャブスコ,,ＮＨＫ　Ｊａｂｓｃｏ　Ｃｏ．，　Ｌｔｄ．,222-0033,045-475-8906,http://www.nhkjab.com/,,マリントイレ，エンジン冷却ポンプ，産業用ポンプの販売,,,,,199109,30,35.5119111,139.6174174
機械卸売,ビューラー（株）,神奈川県横浜市港北区新横浜３－２２－１１,その他非製造業,1370,未上場,ビューラー,ビューラー・ミアグ（1990）,Ｂｕｈｌｅｒ　Ｋ．Ｋ．,222-0033,045-477-3000,http://www.buhlergroup.com/,,食品機械，化学プロセスエンジニアリング製品機械およびその機械部品の輸出入販売，カスタマーサービスおよびプラント設計，施工,ビューラーＡＧ（スイス）,明治製菓，東洋インキ，日清製粉，全農，アサヒビール，サッポロビール，ＤＮＰファインケミカル，ロッテ,ビューラー,みずほ,197401,250,35.5127916,139.6183993
鉄鋼・金属卸売,リタール（株）,神奈川県横浜市港北区新横浜３－２３－３　新横浜ＡＫビル２階,その他非製造業,207136,未上場,リタール,,Ｒｉｔｔａｌ　Ｋ．Ｋ．,222-0033,0280-87-5120,http://www.rittal.co.jp/,［営業本部・横浜支店］　神奈川県横浜市港北区新横浜３－２３－３新横浜東武ＡＫビル２階　［支店］　大阪，名古屋，広島,電気制御盤ボックス・キャビネット，電子機器用ラック・ケース等の輸入・販売,独リタール社,,,ドイツ，三菱東京ＵＦＪ,198810,407,35.51355210000001,139.6192708
機械卸売,日本エリコンライボルト（株）,神奈川県横浜市港北区新横浜３－２３－３　新横浜ＡＫビル４階,その他非製造業,202206,未上場,ニッポンエリコンライボルト,ライボルト（株）（2006.9）,Ｏｅｒｌｉｋｏｎ　Ｌｅｙｂｏｌｄ　Ｖａｃｕｕｍ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,222-0033,045-471-3330,http://www.oerlikon.com/leyboldvacuum/,［支社］　（大阪）大阪市淀川区西宮原１－５－２８新大阪テラサキ第３ビル３階ＴＥＬ０６－６３９９－６２７１　［筑波技術・サービスセンター］　茨城県つくば市上横場１９５９ＴＥＬ０２９－８３９－５４８０,各種真空ポンプの販売・サービス,Ｏｅｒｌｉｋｏｎ　Ｌｅｙｂｏｌｄ　Ｖａｃｕｕｍグループ,日立製作所，日本電子，島津製作所，ファナック,,三井住友，三菱東京ＵＦＪ,198304,450,35.51355210000001,139.6192708
電気機器,（株）コンピューケース・ジャパン,神奈川県横浜市港北区新横浜３－２４－５,製造業,410070,未上場,コンピューケースジャパン,,Ｃｏｍｐｕｃａｓｅ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,222-0033,045-470-5948,http://www.hec-group.jp/,,ケース，電源を中心とするコンピュータ関連部品の企画，輸入及び販売,,,,,200001,10,35.5143067,139.6203659
電気機器卸売,ウィンボンド・エレクトロニクス（株）,神奈川県横浜市港北区新横浜３－７－１８　第２上野ビル,その他非製造業,402945,未上場,ウィンボンドエレクトロニクス,,Ｗｉｎｂｏｎｄ　Ｅｌｅｃｔｒｏｎｉｃｓ　Ｃｏｒｐ．　Ｊａｐａｎ,222-0033,045-478-1881,http://www.winbond.co.jp/japan/jpn,,半導体の販売促進・技術サポート・設計開発,,,,,200101,148,35.5097206,139.61698
電気機器卸売,サムテック・ジャパン・エルエルシー,神奈川県横浜市港北区新横浜３－７－３　リーフスクエア新横浜ビル７階,その他非製造業,410098,未上場,サムテックジャパンエルエルシー,,ＳＡＭＴＥＣ　ＪＡＰＡＮ　ＬＬＣ．,222-0033,045-475-1385,http://www.samtec.com/,,ケーブル，ソケット，コネクタ関連の販売,,,,,200011,－,35.5096005,139.6171197
電気機器卸売,エクサー・ジャパン（株）,神奈川県横浜市港北区新横浜３－８－８,その他非製造業,201155,未上場,エクサージャパン,,Ｅｘａｒ　Ｊａｐａｎ　Ｃｏｒｐ．,222-0033,045-478-0552,http://www.exar.com/,,半導体の輸入・販売,,,,,198904,15,35.5107568,139.6184505
電気機器卸売,ブルックス・ジャパン（株）,神奈川県横浜市港北区新横浜３－８－８　日総第１６ビル１０階,その他非製造業,210248,未上場,ブルックスジャパン,ヘリックス　テクノロジー（株）（2012.1）,Ｂｒｏｏｋｓ　Ｊａｐａｎ　Ｋ．Ｋ．,222-0033,045-477-5570,http://www.brooksjapan.co.jp/,［営業所］　（大阪）大阪市中央区北浜１－１－２７グランクリュ大阪北浜２０５，（熊本）熊本市龍田町弓削３１２－１未来オフィス２　２０２　［横浜テクニカルセンター］　横浜市都筑区川向町８５２－１　［サービスセンター］　（四日市）三重県四日市市新々町２－２６光商会四日市ビル，（広島）広島県東広島市西条中央３－２６－３５ハーバードクラブ１階,真空装置，極低温装置，真空度制御用装置，理化学機械器具，測定機器類・計測装置その付属品の輸出入・販売・保守管理，半導体用ウェハー搬送用ロボットの保守サービス,,,ＣＴＩ－ＣＲＹＯＧＥＮＩＣＳ，ＧＲＡＮＶＩＬＬＥ－ＰＨＩＬＬＩＰＳ，Ｂｒｏｏｋｓ　Ａｕｔｏｍａｔｉｏｎ,三菱東京ＵＦＪ,199807,100,35.5107194,139.6184741
精密機器卸売,デュル・ジャパン（株）,神奈川県横浜市港北区新横浜３－８－８　日総第１６ビル６階,その他非製造業,381070,未上場,デュルジャパン,,Ｄｕｒｒ　Ｊａｐａｎ　Ｋ．Ｋ．,222-0033,045-475-3671,http://www.durr.com/,,自動車生産工場向け静電塗装機器の輸入・販売・アフターサービス,,,,,200101,12,35.5107194,139.6184741
他サービス,チップワークス（株）,神奈川県横浜市港北区新横浜３－８－８　日総第１６ビル７階,その他非製造業,410010,未上場,チップワークス,,Ｃｈｉｐｗｏｒｋｓ　Ｃｏｒｐ．,222-0033,045-478-7023,http://www.chipworks.com/,,半導体の技術解析及びこれに伴う特許支援業務,,,,,200002,10,35.5107194,139.6184741
精密機器卸売,マール・ジャパン（株）,神奈川県横浜市港北区大豆戸町７１２－４－１,その他非製造業,222224,未上場,マールジャパン,,Ｍａｈｒ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,222-0032,045-540-3591,http://www.mahr.com/,,各種測定機等の販売,,,,,200004,20,35.5135364,139.6228161
電気機器卸売,ニルフィスクアドバンス（株）,神奈川県横浜市港北区北新横浜１－６－６,その他非製造業,402958,未上場,ニルフィスクアドバンス,,Ｎｉｌｆｉｓｋ－Ａｄｖａｎｃｅ，　Ｉｎｃ．,223-0059,045-548-2571,http://www.nilfisk-advance.co.jp/,,真空掃除機，高圧洗浄機，自動床洗浄機の輸入販売及びアフターサービス,,,,,199207,400,35.5171244,139.6158812
電気機器,（株）ジェイエイアイコーポレーション,神奈川県横浜市神奈川区栄町１０－３５,製造業,204419,未上場,ジェイエイアイコーポレーション,プロテック・ジャパン（株）（1998.10）,ＪＡＩ　Ｃｏｒｐ．,221-0052,045-440-0150,http://www.jai.com/,,映像機器の製造・販売,ジェイエイアイ電子，共信テクノソニック，ＪＡＩパルニックスアメリカインコーポレーテッド,ＪＡＩ　Ａ／Ｓ，モリテックス,ＪＡＩ，ＪＡＩ－Ｐｕｌｎｉｘ,三菱東京ＵＦＪ，りそな，みずほ，三井住友，横浜,198902,90,35.4688015,139.6313623
コンサルティング,エイ・ビー・エス・ジー・コンサルティング・インク（日本支店）,神奈川県横浜市神奈川区栄町１－１　アーバンスクエア横浜１０階,法律会計･コンサル,220847,未上場,エイビーエスジーコンサルティングインクニッポンシテン,,ＡＢＳＧ　Ｃｏｎｓｕｌｔｉｎｇ　Ｉｎｃ．,221-0052,045-450-1250,http://www.absconsulting.co.jp/,,検査，認証サービス,,,,,197110,－,35.4691745,139.6272923
他サービス,カラートラックジャパン（日本事務所）,神奈川県横浜市神奈川区栄町５－１　横浜クリエーションスクェア１２階１２０３,その他非製造業,420071,未上場,カラートラックジャパンニッポンジムショ,,Ｃｏｌｏｒｔｒａｃ　Ｊａｐａｎ,221-0052,045-548-6991,http://www.colortrac.co.jp/,,大判スキャナ「カラートラック」の国内代理店サポート全般，市場調査など,,,,,201010,－,35.4683676,139.6282062
機械卸売,ＶＡＴ（株）,神奈川県横浜市神奈川区金港町２－６　横浜プラザビル７階,その他非製造業,360125,未上場,ヴイエイティ,エス・ケイ・ケイ・バキュウムエンジニアリング（株）（2007.4）,ＶＡＴ　Ｌｔｄ．,221-0056,045-440-0340,http://www.vatvalve.com/,,スイス国ＶＡＴ　Ａ．Ｇ．製品の販売,,,,,198502,96,35.4676314,139.6271188
コンサルティング,エイチエスビージャパン（株）,神奈川県横浜市神奈川区金港町２－６　横浜プラザビル７階,法律会計･コンサル,381113,未上場,エイチエスビージャパン,,ＨＳＢ　Ｊａｐａｎ　Ｋ．Ｋ．,221-0056,045-450-3540,http://www.hsb-japan.com/,,ボイラーや圧力容器，原子力発電所用機器などの検査・審査，品質システムの導入支援等,,,,,200001,70,35.4676314,139.6271188
他サービス,ムベア・ジャパン（株）,神奈川県横浜市神奈川区金港町２－６　横浜プラザビル８階,その他非製造業,403094,未上場,ムベアジャパン,,Ｍｕｂｅａ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,221-0056,045-450-9800,http://www.mubea.com/,,自動車部品の設計・開発,,,,,200407,10,35.4676314,139.6271188
鉄鋼・金属卸売,（株）サーモン　ファーイースト,神奈川県横浜市神奈川区金港町６－３　横浜金港町ビル２階,その他非製造業,103139,未上場,サーモンファーイースト,,Ｔｈｅｒｍｏｎ　Ｆａｒ　Ｅａｓｔ，　Ｌｔｄ．,221-0056,045-461-0373,http://www.thermon.com/jp/,,ヒート・トレーシング製品の販売・取付施工,,,,,199011,50,35.4685512,139.6255651
その他卸売,ソムフィ（株）,神奈川県横浜市神奈川区三枚町２２－１,その他非製造業,206266,未上場,ソムフィ,,Ｓｏｍｆｙ　Ｋ．Ｋ．,221-0862,045-481-6901,http://www2.somfy.com/jp/,,チューブラー・オペレーター，センサー，電気制御器システムの輸入販売,,,,,198501,33,35.4975548,139.6064452
輸送用機器卸売,ウルトジャパン（株）,神奈川県横浜市神奈川区三枚町３３　ＭＴビル,その他非製造業,100470,未上場,ウルトジャパン,京葉ウルト（株）（1992.3）,Ｗｕｅｒｔｈ　Ｊａｐａｎ，　Ｃｏ．，　Ｌｔｄ．,221-0862,045-488-4186,http://www.wuerth.co.jp/,,自動車修理用部品・工具・ケミカル製品・収納システムなどの輸出入および国内販売,Ａｄｏｌｆ　Ｗｕｅｒｔｈ　ＧｍｂＨ　＆　Ｃｏ．ＫＧ,全国自動車整備工場，板金工場，カーディーラー,ＷＵＲＴＨ,三菱東京ＵＦＪ,198707,90,35.4967518,139.6056089
精密機器卸売,ブルカー・バイオスピン（株）,神奈川県横浜市神奈川区守屋町３－９,その他非製造業,1340,未上場,ブルカーバイオスピン,日本ブルカー（株）（2001.10）,Ｂｒｕｋｅｒ　ＢｉｏＳｐｉｎ　Ｋ．Ｋ．,221-0022,045-444-1390,http://www.bruker.co.jp/,［サービスステーション］　横浜　［営業所］　大阪,科学分析機器の輸入販売，メンテナンス・開発，デモンストレーション・科学研究,ブルカー社（スイス，ドイツ）,国立研究所，大学，大手メーカーの研究機関,ブルカー,,197509,480,35.4831105,139.6527817
精密機器卸売,ブルカー・ダルトニクス（株）,神奈川県横浜市神奈川区守屋町３－９,その他非製造業,224593,未上場,ブルカーダルトニクス,,Ｂｒｕｋｅｒ　Ｄａｌｔｏｎｉｃｓ　Ｋ．Ｋ．,221-0022,045-440-0471,http://www.bruker.co.jp/,,ライフサイエンス，ゲノム創薬，材料科学等の分野における質量分析装置等の販売・サポート,,,,,199901,30,35.4831105,139.6527817
精密機器卸売,ブルカー・エイエックスエス（株）,神奈川県横浜市神奈川区守屋町３－９,その他非製造業,420083,未上場,ブルカーエイエックスエス,,Ｂｒｕｋｅｒ　ＡＸＳ　Ｋ．Ｋ．,221-0022,045-453-1964,http://www.bruker.jp/axs/,,国内の研究機関や企業向けにＸ線回折装置・熱分析装置・その他周辺機器の販売及びアフターサービスを提供,,,,,200008,160,35.4831105,139.6527817
精密機器卸売,サーモフィッシャーサイエンティフィック（株）,神奈川県横浜市神奈川区守屋町３－９　Ｃ棟２階,その他非製造業,208401,未上場,サーモフィッシャーサイエンティフィック,サーモエレクトロン（株）（2006.11）,Ｔｈｅｒｍｏ　Ｆｉｓｈｅｒ　Ｓｃｉｅｎｔｉｆｉｃ　Ｋ．Ｋ．,221-0022,045-453-9100,http://www.thermofisher.co.jp/,［大阪支店］　５６１－０８７２大阪府豊中市寺内２－４－１緑地駅ビル６階ＴＥＬ０６－６８６３－１５５０　［東京オフィス］　１１３－００３３東京都文京区本郷３－４３－１６成田ビル６階ＴＥＬ０３－３８１６－３３５５　［福岡営業所］　８１２－００１１福岡市博多区博多駅前２－２０－１大博多ビル８階ＴＥＬ０９２－４５２－３２３２,分析機器・汎用理科学機器・医療器具等の輸入販売及び保守サービス,,,,三菱東京ＵＦＪ,198906,300,35.4831105,139.6527817
機械卸売,（株）アジエ・シャルミー・ジャパン,神奈川県横浜市神奈川区守屋町３－９－１３　ＴＶＰビル,その他非製造業,100415,未上場,アジエシャルミージャパン,（株）シャルミージャパン（2000.1）,Ａｇｉｅ　Ｃｈａｒｍｉｌｌｅｓ　Ｊａｐａｎ　Ｌｔｄ．,221-0022,045-450-1521,http://www.gfac.com/jp/index.jp.html,［営業所］　名古屋,スイスアジエシャルミー社製放電加工機・マシニングセンタ・レーザ加工機の輸入，販売，サービス,スイス　アジエ・シャルミー社,光商工，ユアサ商事，山善，兼松ＫＧＫ，サンメンテナンス工機,アジエ，シャルミー，ミクロン,みずほ,198711,440,35.4829883,139.6541768
その他卸売,ＢＳ＆Ｂセイフティ・システムズ（株）,神奈川県横浜市神奈川区守屋町３－９－１３　ＴＶＰビル,その他非製造業,206221,未上場,ビーエスアンドビーセイフティシステムズ,新潟ビー・エス・アンド・ビー・セイフティ・システムズ（株）（2003.4）,ＢＳ＆Ｂ　Ｓａｆｅｔｙ　Ｓｙｓｔｅｍｓ　Ｃｏ．，　Ｌｔｄ．,221-0022,045-450-1271,http://www.bsb-systems.jp/,,安全機器の販売,,,,,198007,24,35.4829883,139.6541768
輸送用機器卸売,日本シー・ティー・エス（株）,神奈川県横浜市神奈川区守屋町３－９－１３　ＴＶＰビルディング２階,その他非製造業,222163,未上場,ニッポンシーティーエス,,ＣＴＳ　Ｊａｐａｎ　Ｉｎｃ．,221-0022,045-450-2363,http://www.ctscorp.com/,,自動車部品・携帯電話・電算機用部品の販売，ＥＭＳ製品の製造・販売,,,,,198912,10,35.4829883,139.6541768
機械卸売,エクスロン・インターナショナル（株）,神奈川県横浜市神奈川区新浦島町１－１－３２　ニューステージ横浜１階,その他非製造業,410312,未上場,エクスロンインターナショナル,,ＹＸＬＯＮ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　Ｋ．Ｋ．,221-0031,045-450-1730,http://www.yxlon.co.jp/,,工業用可搬式，据置式，携帯式の各Ｘ線発生装置及びシステム等の販売,,,,,199911,10,35.4795536,139.6442341
機械卸売,シェフラー　ジャパン（株）,神奈川県横浜市神奈川区新浦島町１－１－３２　ニューステージ横浜９階,その他非製造業,204194,未上場,シェフラージャパン,（株）イナ　ベアリング（2006.4）,Ｓｃｈａｅｆｆｌｅｒ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,221-0031,045-274-8211,http://www.schaeffler.co.jp/,,ニードルローラー，シリンドリカル，ボールベアリング等精密機械部品，テンショナー，タペット，ロッカーアーム等自動車エンジン部品の輸入販売,,,,,198707,40,35.4795536,139.6442341
輸送用機器卸売,モディーンジャパン（株）,神奈川県横浜市神奈川区沢渡１－２,その他非製造業,222238,未上場,モディーンジャパン,,Ｍｏｄｉｎｅ　Ｊａｐａｎ　Ｋ．Ｋ．,221-0844,045-548-3815,http://www.modine.com/v2portal/modine.portal,,ラジエーター，オイルクーラー，コンデンサー，チャージエアークーラーの販売,,,,,199502,10,35.4714272,139.6188967
電気機器卸売,ビーワイディージャパン（株）,神奈川県横浜市神奈川区鶴屋町２－２０－３　第５安田ビル５階,その他非製造業,224181,未上場,ビーワイディージャパン,,ＢＹＤ　ＪＡＰＡＮ　ＣＯ．，　ＬＴＤ．,221-0835,045-290-6550,http://www.byd.com.cn/,,電池など電子部品の販売およびそれらの原材料の輸出,,,,,200508,100,35.4695302,139.6220111
医薬品卸売,キンバリークラーク・ヘルスケア・インク（日本支社）,神奈川県横浜市西区みなとみらい２－２－１　横浜ランドマークタワー１５階,その他非製造業,392612,未上場,キンバリークラークヘルスケアニッポンシシャ,,Ｋｉｍｂｅｒｌｙ－Ｃｌａｒｋ　Ｈｅａｌｔｈ　Ｃａｒｅ　Ｉｎｃ．,220-8115,045-682-5150,http://www.kchealthcare.com/,,感染管理・医療安全を中心とした各種製品の製造販売,,,,,199310,－,35.4545635,139.6314218
情報・システム・ソフト,ウィプロ・リミテッド（日本オフィス）,神奈川県横浜市西区みなとみらい２－２－１　横浜ランドマークタワー２６階,情報通信･メディア,220724,未上場,ウィプロリミテッドニッポンオフィス,,Ｗｉｐｒｏ　Ｌｉｍｉｔｅｄ　Ｊａｐａｎ　Ｏｆｆｉｃｅ,220-8126,045-650-3950,http://www.wipro.com/,,ソフトウエアの開発・運用・保守・ＢＰＯサービス，コンサルティングサービス,,,,,199804,－,35.4545635,139.6314218
人材派遣・業務請負,マンパワーグループ（株）,神奈川県横浜市西区みなとみらい２－２－１　横浜ランドマークタワー３６階,その他非製造業,6400,未上場,マンパワーグループ,マンパワー・ジャパン（株）（2011.12）,ＭａｎｐｏｗｅｒＧｒｏｕｐ　Ｃｏ．，　Ｌｔｄ．,220-8136,045-227-4400,http://www.manpowergroup.jp/,［支店・サービス事業部］　札幌，盛岡，仙台，山形，郡山，高崎，つくば，幕張，大宮，川越，東京，横浜，厚木，川崎，藤沢，浜松，静岡，名古屋，金沢，富山，京都，滋賀，岡崎，大阪，神戸，姫路，岡山，広島，高松，福岡，長崎，北九州，熊本　［登録センター］　新宿，銀座，横浜，名古屋，梅田，難波他，計１５５拠点,人材派遣（派遣スタッフのべ３７８，０００名）を中心とした人材サービス,,,,みずほ，三井住友,196611,"4,000",35.4545635,139.6314218
情報・システム・ソフト,ラーセン　アンド　ツブロ　インフォテック　リミテッド（日本支社）,神奈川県横浜市西区みなとみらい２－２－１　横浜ランドマークタワー３７階,情報通信･メディア,403133,未上場,ラーセンアンドツブロインフォテックリミテッドニッポンシシャ,,ＬＡＲＳＥＮ　＆　ＴＯＵＢＲＯ　ＩＮＦＯＴＥＣＨ　ＬＴＤ．,220-8137,045-263-9851,http://www.lntinfotech.com/japanese/,,コンピュータソフト開発，販売および人材派遣,,,,,199704,－,35.4545635,139.6314218
他サービス,ＳＧＳジャパン（株）,神奈川県横浜市西区みなとみらい２－２－１　横浜ランドマークタワー３８階,その他非製造業,203238,未上場,エスジーエスジャパン,（株）エスジーエス・アイシーエス・ジャパン（2003.1）,ＳＧＳ　Ｊａｐａｎ　Ｉｎｃ．,220-8138,045-330-5000,http://www.jp.SGS.com/,［支店］　横浜,品質・環境・安全などの管理システム審査登録業務および関連する教育訓練業務，食品関係の審査認証登録業務，海外製造品に対する物品検査他,,,ＳＧＳ,三井住友，シティ,198706,350,35.4545635,139.6314218
精密機器卸売,グローバルファウンドリーズ・ジャパン（株）,神奈川県横浜市西区みなとみらい２－２－１　横浜ランドマークタワー３８階,その他非製造業,209412,未上場,グローバルファウンドリーズジャパン,チャータード・セミコンダクター・ジャパン（株）（2010.1）,ＧＬＯＢＡＬＦＯＵＮＤＲＩＥＳ　Ｊａｐａｎ　Ｌｔｄ．,220-8138,045-210-0701,http://www.globalfoundries.com/,,半導体集積回路用基板に関する市場調査および販売促進,,,,,200010,10,35.4545635,139.6314218
機械卸売,ダニエリ　エンジニアリング　ジャパン（株）,神奈川県横浜市西区みなとみらい２－２－１　横浜ランドマークタワー４２階,その他非製造業,403378,未上場,ダニエリエンジニアリングジャパン,,Ｄａｎｉｅｌｉ　Ｅｎｇｉｎｅｅｒｉｎｇ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,220-8142,045-651-7077,http://www.danieli.jp/,,鉄鋼プラントの設計・コンサルティング,,,,,200712,40,35.4545635,139.6314218
コンサルティング,イー・アール・エム日本（株）,神奈川県横浜市西区みなとみらい２－２－１－１　横浜ランドマークタワー１９階,法律会計･コンサル,222023,未上場,イーアールエムニッポン,,Ｅｎｖｉｒｏｎｍｅｎｔａｌ　Ｒｅｓｏｕｒｃｅｓ　Ｍａｎａｇｅｍｅｎｔ　Ｊａｐａｎ　Ｌｔｄ．,220-8119,045-640-3780,http://www.erm.co.jp/,,環境分野に関するコンサルティング，企業のサステナビリティに関するコンサルティング，他,,,,,199900,20,35.4545635,139.6314218
情報・システム・ソフト,（株）ＩＤＡＪ,神奈川県横浜市西区みなとみらい２－２－１－１　横浜ランドマークタワー３７階,情報通信･メディア,209057,未上場,アイディエージョイ,（株）シーディー・アダプコ・ジャパン（2012.4）,ＩＤＡＪ　Ｃｏ．，　Ｌｔｄ．,220-8137,045-683-1990,http://www.idaj.co.jp/,,数値シミュレーションに関するソフトウエア販売とコンサルティング,,,,,199410,10,35.4545635,139.6314218
情報・システム・ソフト,ライオンブリッジジャパン（株）,神奈川県横浜市西区みなとみらい２－２－１－１　横浜ランドマークタワー４２階,情報通信･メディア,209008,未上場,ライオンブリッジジャパン,ＪＬＳジャパン（株）（1998.3）,Ｌｉｏｎｂｒｉｄｇｅ　Ｊａｐａｎ　Ｃｏ．，　Ｌｔｄ．,220-8142,045-640-4250,http://ja-jp.lionbridge.com/,,コンピューター・ソフトウエアの翻訳・編集（多各国言語）・開発・保守，ローカリゼーションサービス，検査業務，Ｔｅｓｔｉｎｇサービス，情報処理サービス他,,,,,199700,41,35.4545635,139.6314218
電気機器卸売,マイクレル・セミコンダクタ・ジャパン（株）,神奈川県横浜市西区みなとみらい２－３－１　クイーンズタワーＡ　１４階,その他非製造業,381006,未上場,マイクレルセミコンダクタジャパン,,Ｍｉｃｒｅｌ　Ｓｅｍｉｃｏｎｄｕｃｔｏｒ　Ｊａｐａｎ，ＫＫ,220-6014,045-224-6616,http://www.micrel.jp/,,高性能アナログ半導体製品・高速ミックスド・シグナル半導体製品の輸入・販売,,,,,199908,10,35.4557834,139.6330448
